metric,color,n,mean_cm,median_cm,std_cm,p90_cm,max_cm
e_xy,All,50,2.5198,2.62,1.3196567584034873,4.165,5.36
e_xy,Blue,25,2.3496,1.9,1.3636465231136696,4.03,5.36
e_xy,Yellow,25,2.69,3.1,1.2512074168578127,4.222,4.68
e_s,All,50,0.2078,0.20500000000000002,0.1372776748054832,0.41,0.52
e_s,Blue,25,0.1204,0.11,0.0982437784289672,0.23600000000000002,0.39
e_s,Yellow,25,0.2952,0.26,0.11296441917701343,0.456,0.52
